id	misspelling	gold	suggestions	suggestions_withRank
7552	fehlt	fällt	[fehlt, Fehlt, fehlst, fehlte, fühlt, fehl, fehle]	{0.0=[fehlt], 0.5=[Fehlt], 1.0=[fehlst, fehlte, fühlt, fehl, fehle]}
7553	fehlt	fällt	[fehlt, Fehlt, fehlst, fehlte, fühlt, fehl, fehle]	{0.0=[fehlt], 0.5=[Fehlt], 1.0=[fehlst, fehlte, fühlt, fehl, fehle]}
7554	biss	bis	[biss, Biss, riss, bist, iss, bis]	{0.0=[biss], 0.5=[Biss], 1.0=[riss, bist, iss, bis]}
7555	gugt	guckt	[lugt, äugt, gut]	{1.0=[lugt, äugt, gut]}
7556	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7557	bemergt	bemerkt	[bemerkt, besorgt, belegt, bewerft, bezeugt, bemerkte, bemerkst, beherzt, bemerke, gemerkt, bewegt]	{1.0=[bemerkt], 2.0=[besorgt, belegt, bewerft, bezeugt, bemerkte, bemerkst, beherzt, bemerke, gemerkt, bewegt]}
7558	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
7559	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7560	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7561	Eeinen	Einen	[Beinen, Seinen, Meinen, einen, Keinen, Deinen, Leinen, Weinen, Feinen, Einen, Reinen]	{1.0=[Beinen, Seinen, Meinen, einen, Keinen, Deinen, Leinen, Weinen, Feinen, Einen, Reinen]}
7562	komt	kommt	[komm, kommt, kamt]	{1.0=[komm, kommt, kamt]}
7563	besuh	Besuch	[besah, besuch, Besah, Besuch]	{1.0=[besah, besuch], 1.5=[Besah, Besuch]}
7564	pa	paar	[Pa, a, Opa, ja, da, paß]	{0.5=[Pa], 1.0=[a, Opa, ja, da, paß]}
7565	kotonks	Kartons	[Fotos, Tanks, Stocks, Motors, Kartons, Kobolds, Kiosks]	{3.5=[Fotos, Tanks, Stocks, Motors, Kartons, Kobolds, Kiosks]}
7566	gebrach	gebracht	[gebracht, Gebrauch, abbrach, gebraucht, gebrauche, gebraut, zerbrach, gekracht, brach]	{1.0=[gebracht], 1.5=[Gebrauch], 2.0=[abbrach, gebraucht, gebrauche, gebraut, zerbrach, gekracht, brach]}
7567	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7568	Katonk	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7569	ausgebakt	ausgepackt	[ausgemalt, ausgebüxt, ausgebt, ausgepackt, aufgebaut]	{2.0=[ausgemalt, ausgebüxt, ausgebt, ausgepackt, aufgebaut]}
7570	gebrach	gebracht	[gebracht, Gebrauch, abbrach, gebraucht, gebrauche, gebraut, zerbrach, gekracht, brach]	{1.0=[gebracht], 1.5=[Gebrauch], 2.0=[abbrach, gebraucht, gebrauche, gebraut, zerbrach, gekracht, brach]}
7571	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7572	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7573	hede	Idee	[hebe, rede, hexe, hege, jede]	{1.0=[hebe, rede, hexe, hege, jede]}
7574	gespiel	gespielt	[gespielt, Gespielt, gespielte, spiel, gefiel, gespießt]	{1.0=[gespielt], 1.5=[Gespielt], 2.0=[gespielte, spiel, gefiel, gespießt]}
7575	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7576	Burk	Burg	[Burg, buk, Bugs, Bord, Bank, Bums, Berg, Buch, Mark, Funk, Werk, Bub, Wurm, Bär, Guck, Merk, Bug, Büro, Birke, Wurf, Aura, Bus, Gurke, Eure, Bunt, Kurs, Nur, Bude, Ruck, Euro, Park, Juck, Kurz, Gurt, Bar, Bund, Zur, Duck, Turm, Bart, Pure, Bars]	{1.0=[Burg], 1.5=[buk], 2.0=[Bugs, Bord, Bank, Bums, Berg, Buch, Mark, Funk, Werk, Bub, Wurm, Bär, Guck, Merk, Bug, Büro, Birke, Wurf, Aura, Bus, Gurke, Eure, Bunt, Kurs, Nur, Bude, Ruck, Euro, Park, Juck, Kurz, Gurt, Bar, Bund, Zur, Duck, Turm, Bart, Pure, Bars]}
7577	Katon	Karton	[Karton, Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]	{1.0=[Karton], 2.0=[Beton, Salon, Kalten, Kanten, Kater, Kauen, Karten, Katze, Kanone, Kasten, Kartons, Katern, Daten, Katzen, Kamen, Kamin, Davon, Kann, Katja, Baron, Taten, Raten, Kahn, Katz]}
7578	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7579	wal	weil	[Wal, wald, was, mal, war, wag]	{0.5=[Wal], 1.0=[wald, was, mal, war, wag]}
7580	fileicht	vielleicht	[leicht, gleicht, flicht]	{2.0=[leicht, gleicht, flicht]}
7581	runderfalt	runterfällt	[runterfalle, unterhält, rundet, runterkam, hundert, wunderst, runzelt, runder, wundervoll, wundersam, rudert, ruderst, hundertmal, wundersame, unterhalte, wundert, wunderbare, andermal, unterhalb, wunderbar, runterfallen, runterfiel, runtergeht]	{3.0=[runterfalle], 4.0=[unterhält, rundet, runterkam, hundert, wunderst, runzelt, runder, wundervoll, wundersam, rudert, ruderst, hundertmal, wundersame, unterhalte, wundert, wunderbare, andermal, unterhalb, wunderbar, runterfallen, runterfiel, runtergeht]}
7582	Dan	Dann	[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]	{1.0=[Fan, Daß, Dad, Das, Dank, Man, Dran, Den, Da, Dann, an]}
7583	fertiggemaht	fertiggemacht	[festgemacht, fertigen, fortgeht, fertigt, fertiges, fertiger, fertigten, fettigem, weitergemacht, fertige, fertigte, weisgemacht]	{4.0=[festgemacht], 5.0=[fertigen, fortgeht, fertigt, fertiges, fertiger, fertigten, fettigem, weitergemacht, fertige, fertigte, weisgemacht]}
7584	lezden	letzten	[leiden, Leiden, leisen, landen, leiten, Elenden, weiden, lecken, legten, leeren, enden, leidet, leihen, leider, blenden, luden, lernen, reden, lenken, leben, legen, lüden, meiden, elenden, lesen, lehnen, lehren, laden, letzten, seiden, kleiden, leide, senden, jeden, melden, lebten, beiden, werden, wenden, ledern]	{1.0=[leiden], 1.5=[Leiden], 2.0=[leisen, landen, leiten, Elenden, weiden, lecken, legten, leeren, enden, leidet, leihen, leider, blenden, luden, lernen, reden, lenken, leben, legen, lüden, meiden, elenden, lesen, lehnen, lehren, laden, letzten, seiden, kleiden, leide, senden, jeden, melden, lebten, beiden, werden, wenden, ledern]}
7585	under	unter	[unser, wunder, Wunder, runder, unter]	{1.0=[unser, wunder, Wunder, runder, unter]}
7586	kotoak	Karton	[kostbar, total, stak]	{3.0=[kostbar, total, stak]}
7587	reingenangen	reingegangen	[reingegangen, eingegangen, eingefangen]	{1.0=[reingegangen], 2.0=[eingegangen, eingefangen]}
7588	wal	weil	[Wal, wald, was, mal, war, wag]	{0.5=[Wal], 1.0=[wald, was, mal, war, wag]}
7589	siend	sind	[sind, Sind, sein, seien, diene, mied, siehe, seine, sitzend, sieh, säen, sie, siedend, elend, find, seins, seid, sende, stand, spien, sieht, abend, kniend, siebt, sagend, speiend, dient, sehend, siegt, sing, singend]	{1.0=[sind], 1.5=[Sind], 2.0=[sein, seien, diene, mied, siehe, seine, sitzend, sieh, säen, sie, siedend, elend, find, seins, seid, sende, stand, spien, sieht, abend, kniend, siebt, sagend, speiend, dient, sehend, siegt, sing, singend]}
7590	wolde	wollte	[wilde, wolle, Wolke, Wilde, Wolle, Walde, Golde]	{1.0=[wilde, wolle], 1.5=[Wolke, Wilde, Wolle, Walde, Golde]}
7591	Llas	Platz	[Blas, Glas, las]	{1.0=[Blas, Glas, las]}
7592	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7593	get	geht	[gebt, gen, geb, gut, geht, geh]	{1.0=[gebt, gen, geb, gut, geht, geh]}
7594	haten	hatten	[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]	{1.0=[taten, harten, haßten, hauen, hüten, hauten, hatten, hasten, waten, hakten, halten, baten, haften, haben, raten, haken]}
7595	ales	alles	[Tales, alles, als, altes]	{1.0=[Tales, alles, als, altes]}
7596	fertikgemacht	fertiggemacht	[festgemacht, weitergemacht, weisgemacht]	{3.0=[festgemacht], 4.0=[weitergemacht, weisgemacht]}
7597	sitsen	sitzen	[sitzen, Sitzen, Simsen, Sitten]	{1.0=[sitzen], 1.5=[Sitzen, Simsen, Sitten]}
7598	nuhe	nur	[nahe, ruhe, nähe]	{1.0=[nahe, ruhe, nähe]}
7599	garn	gar	[Garn, warn, gar, gern]	{0.5=[Garn], 1.0=[warn, gar, gern]}
7600	sit	sitzt	[fit, sät, seit, mit, sitz, ist, sie]	{1.0=[fit, sät, seit, mit, sitz, ist, sie]}
7601	katorn	Karton	[Katern, kauern, Katers, Karton, Korn, Kötern, Kater, Katzen, Tatort, Kratern]	{1.5=[Katern], 2.0=[kauern], 2.5=[Katers, Karton, Korn, Kötern, Kater, Katzen, Tatort, Kratern]}
7602	mussde	musste	[musste, Musste, misste, messe, müsse, musstet, müsste, wusste, musst, muss, mussten]	{1.0=[musste], 1.5=[Musste], 2.0=[misste, messe, müsse, musstet, müsste, wusste, musst, muss, mussten]}
7603	aufgebliben	aufgeblieben	[aufgeblieben, aufgeblasen, aufgeblasene, aufblieben, aufgeladen, aufgeflogen, aufbleiben, aufgetrieben, abgeblieben, aufgeben, aufgehoben, aufgeblickt, aufgegeben, aufgeblitzt, aufgelesen, aufzubleiben]	{1.0=[aufgeblieben], 2.0=[aufgeblasen], 3.0=[aufgeblasene, aufblieben, aufgeladen, aufgeflogen, aufbleiben, aufgetrieben, abgeblieben, aufgeben, aufgehoben, aufgeblickt, aufgegeben, aufgeblitzt, aufgelesen, aufzubleiben]}
7604	un	und	[in, Nun, nun, um, und, uns, Tun, tun, an]	{1.0=[in, Nun, nun, um, und, uns, Tun, tun, an]}
7605	freun	freuen	[freuen, freund, freut, freue, freu]	{1.0=[freuen, freund, freut, freue, freu]}
7606	gan	ganz	[gen, ganz, gab, gar, man, an, ran]	{1.0=[gen, ganz, gab, gar, man, an, ran]}
7607	geschaft	geschafft	[geschart, geschaut, geschafft]	{1.0=[geschart, geschaut, geschafft]}
7608	eimal	einmal	[einmal, Einmal, egal, zumal, Bemal, Zweimal, Dreimal, eitel, eil, Heimat, mal, zweimal, dreimal]	{1.0=[einmal], 1.5=[Einmal], 2.0=[egal, zumal, Bemal, Zweimal, Dreimal, eitel, eil, Heimat, mal, zweimal, dreimal]}
7609	rundergefalen	runtergefallen	[runtergefallen, runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]	{2.0=[runtergefallen], 4.0=[runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]}
7610	wegutarhn	wehgetan	[wegfuhren, wegwarfen, wegfahre, weiterhin, wegnahm, begutachten, weiteren, wegkamen, wegzufahren, wegwarf, wegfahren, wegfahrt, wehgetan, wehtaten]	{4.0=[wegfuhren, wegwarfen, wegfahre, weiterhin, wegnahm, begutachten, weiteren, wegkamen, wegzufahren, wegwarf, wegfahren, wegfahrt, wehgetan, wehtaten]}
7611	kante	kannte	[Kante, kaute, kalte, kannte]	{0.5=[Kante], 1.0=[kaute, kalte, kannte]}
7612	runtergefalen	runtergefallen	[runtergefallen, runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]	{1.0=[runtergefallen], 3.0=[runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]}
7613	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7614	ales	alles	[Tales, alles, als, altes]	{1.0=[Tales, alles, als, altes]}
7615	runtergefalen	runtergefallen	[runtergefallen, runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]	{1.0=[runtergefallen], 3.0=[runterzufallen, runtergegangen, runtergehen, heruntergefallen, runterfallen]}
7616	erschroken	erschrocken	[erschraken, erschrocken, Erschrocken]	{1.0=[erschraken, erschrocken], 1.5=[Erschrocken]}
7617	wegetanrn	wehgetan	[wehgetan, Wehgetan, gewann, weigern, weggerannt, wegrennen, getarnt, begann, wegfahre, zugetane, wegkamen, zugetan, weggefahren, wegwarf, getanzt, angetaner, getan, wegfahren, wegfahrt, begegnen, angetan, getaner, wegen, weggegangen, wehtaten]	{3.0=[wehgetan], 3.5=[Wehgetan], 4.0=[gewann, weigern, weggerannt, wegrennen, getarnt, begann, wegfahre, zugetane, wegkamen, zugetan, weggefahren, wegwarf, getanzt, angetaner, getan, wegfahren, wegfahrt, begegnen, angetan, getaner, wegen, weggegangen, wehtaten]}
7618	disen	diesen	[düsen, diesen, dösen]	{1.0=[düsen, diesen, dösen]}
7619	kotonk	Karton	[betont, toten, betone, kosten, stank, knoten, boten, roten, wovon, krank]	{3.0=[betont, toten, betone, kosten, stank, knoten, boten, roten, wovon, krank]}
7620	gekukt	gekuckt	[gekickt, geküßt, gequakt, gehakt, gekauft, gejuckt, gespukt, geduzt, gehupt, getunkt, geduckt, gelugt, gekaut, gezuckt, gewußt, geguckt]	{2.0=[gekickt, geküßt, gequakt, gehakt, gekauft, gejuckt, gespukt, geduzt, gehupt, getunkt, geduckt, gelugt, gekaut, gezuckt, gewußt, geguckt]}
7621	katonk	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7622	gefalen	gefallen	[gefallen, Gefallen, geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]	{1.0=[gefallen], 1.5=[Gefallen], 2.0=[geladen, gellen, gefielen, gehauen, gefallene, befallen, gefahren, gefalle, geraden, genialen, befahlen, gefaltet, bemalen, gehalten, genauen, gemalten, gefangen, gefallt, geraten]}
7623	haht	hat	[halt, hakt, haut, hast, hat, hart, habt, naht, haßt, saht]	{1.0=[halt, hakt, haut, hast, hat, hart, habt, naht, haßt, saht]}
7624	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
7625	geisth	Geist	[Geiste, Geist, weist, gehst, geistig, reist, meiste, GEist, reiste, leiste, seist, meist, geste]	{1.5=[Geiste, Geist], 2.0=[weist, gehst, geistig, reist, meiste, GEist, reiste, leiste, seist, meist, geste]}
7626	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7627	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7628	gekukt	gekuckt	[gekickt, geküßt, gequakt, gehakt, gekauft, gejuckt, gespukt, geduzt, gehupt, getunkt, geduckt, gelugt, gekaut, gezuckt, gewußt, geguckt]	{2.0=[gekickt, geküßt, gequakt, gehakt, gekauft, gejuckt, gespukt, geduzt, gehupt, getunkt, geduckt, gelugt, gekaut, gezuckt, gewußt, geguckt]}
7629	rausgekomen	rausgekommen	[rausgekommen, ausgekommen, rauskamen, rausgeworfen, rauskommen, herausgekommen, rauszukommen, ausgezogen, rausgehen, aufgekommen, ausgenommen]	{1.0=[rausgekommen], 2.0=[ausgekommen], 3.0=[rauskamen, rausgeworfen, rauskommen, herausgekommen, rauszukommen, ausgezogen, rausgehen, aufgekommen, ausgenommen]}
7630	un	und	[in, Nun, nun, um, und, uns, Tun, tun, an]	{1.0=[in, Nun, nun, um, und, uns, Tun, tun, an]}
7631	daan	dann	[dann, dran, daran]	{1.0=[dann, dran, daran]}
7632	gesakkt	gesagt	[gesackt, gehakt, gespukt, gesaugt, gepackt, gesandt, gesagt, gezankt, gedankt, gestakst, gesaust, gehackt, gesenkt, gewankt, geparkt]	{1.0=[gesackt], 2.0=[gehakt, gespukt, gesaugt, gepackt, gesandt, gesagt, gezankt, gedankt, gestakst, gesaust, gehackt, gesenkt, gewankt, geparkt]}
7633	ahah	ah	[Aha, ahnt, anhat, ah, ansah, ahm, hab, hai, ahne, auch, nah, hat, sah, absah, hau]	{1.5=[Aha], 2.0=[ahnt, anhat, ah, ansah, ahm, hab, hai, ahne, auch, nah, hat, sah, absah, hau]}
7634	wier	wir	[wir, wider, wie, wirr, wer, vier, wies, hier]	{1.0=[wir, wider, wie, wirr, wer, vier, wies, hier]}
7635	herrausgefunden	herausgefunden	[herausgefunden, rausgefunden, herausfanden, herauszufinden, herausfänden, herausfinden]	{1.0=[herausgefunden], 3.0=[rausgefunden], 4.0=[herausfanden, herauszufinden, herausfänden, herausfinden]}
7636	sakt	sagt	[samt, hakt, satt, sackt, sagt, saht]	{1.0=[samt, hakt, satt, sackt, sagt, saht]}
7637	den	denn	[den, Den, der, denk, gen, wen, des, Öden, öden, dein, dem, denn]	{0.0=[den], 0.5=[Den], 1.0=[der, denk, gen, wen, des, Öden, öden, dein, dem, denn]}
7638	genaht	gemacht	[genäht, genagt, Genäht]	{1.0=[genäht, genagt], 1.5=[Genäht]}
7639	könte	könnte	[könnte, tönte, könne]	{1.0=[könnte, tönte, könne]}
7640	docch	doch	[doch, Doch, Dolch]	{1.0=[doch], 1.5=[Doch, Dolch]}
7641	nich	nicht	[nich, wich, mich, dich, noch, nach, nicht, sich, ich]	{0.0=[nich], 1.0=[wich, mich, dich, noch, nach, nicht, sich, ich]}
7642	hut	hat	[Hut, hupt, tut, gut, haut, hat, heut]	{0.5=[Hut], 1.0=[hupt, tut, gut, haut, hat, heut]}
7643	gebrült	gebrüllt	[gebrüllt, Gebrüll, gebrütet, geblüht, gegrüßt, gebraut, geprüft, getrübt, geballt, gegrölt, gebellt, gespült, gebüßt]	{1.0=[gebrüllt], 1.5=[Gebrüll], 2.0=[gebrütet, geblüht, gegrüßt, gebraut, geprüft, getrübt, geballt, gegrölt, gebellt, gespült, gebüßt]}
7644	dan	dann	[daß, dann, dar, dran, dank, das, man, den, an, da, ran]	{1.0=[daß, dann, dar, dran, dank, das, man, den, an, da, ran]}
7645	gelaht	gelacht	[gelacht, gelegt, gepaßt, glatt, gehakt, gejagt, gemäht, gefleht, gelang, geahnt, gefaßt, gelohnt, gellt, gelöst, gesagt, gelugt, gelaunt, gemacht, geplant, gekaut, geht, gewagt, gebläht, gedacht, gefahr, glüht, genäht, gerast, gehabt, gelehnt, gezahlt, gelebt, geplagt, gelähmt, gelehrt, geklaut, geweht, gelangt, gewacht, geblüht, gelobt, genagt, gebaut, gebahnt, geklagt, geglüht, gemalt]	{1.0=[gelacht], 2.0=[gelegt, gepaßt, glatt, gehakt, gejagt, gemäht, gefleht, gelang, geahnt, gefaßt, gelohnt, gellt, gelöst, gesagt, gelugt, gelaunt, gemacht, geplant, gekaut, geht, gewagt, gebläht, gedacht, gefahr, glüht, genäht, gerast, gehabt, gelehnt, gezahlt, gelebt, geplagt, gelähmt, gelehrt, geklaut, geweht, gelangt, gewacht, geblüht, gelobt, genagt, gebaut, gebahnt, geklagt, geglüht, gemalt]}
7646	spilen	spielen	[spien, spülen, spielen]	{1.0=[spien, spülen, spielen]}
7647	Junga	Jenga	[Jungs, Jung, Junge]	{1.0=[Jungs, Jung, Junge]}
7648	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7649	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7650	Das	Dass	[Das, das, Dös, Daß, Des, Dad, DAS, Gas, Was, Dads, Da, Dass]	{0.0=[Das], 0.5=[das], 1.0=[Dös, Daß, Des, Dad, DAS, Gas, Was, Dads, Da, Dass]}
7651	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7652	gaht	geht	[galt, geht, naht, saht]	{1.0=[galt, geht, naht, saht]}
7653	Hör	höher	[Hör, hör, Her, Hört, Höre]	{0.0=[Hör], 0.5=[hör], 1.0=[Her, Hört, Höre]}
7654	rauszusien	rauszuziehen	[auszusehen, rauszuholen, auszuüben, rauszulassen, rauszugehen, rauszufinden, rauslassen]	{3.0=[auszusehen, rauszuholen, auszuüben, rauszulassen, rauszugehen, rauszufinden, rauslassen]}
7655	in	ihn	[in, In, im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]	{0.0=[in], 0.5=[In], 1.0=[im, IN, Bin, bin, i, is, Ein, ein, Hin, hin, an, ihn, ins, iß]}
7656	fom	vom	[vom, Vom, Form]	{1.0=[vom], 1.5=[Vom, Form]}
7657	katong	Karton	[Karton, Kanone, Kartons]	{2.5=[Karton, Kanone, Kartons]}
7658	siet	zieht	[riet, siebt, seit, siegt, sieh, sieht, sie]	{1.0=[riet, siebt, seit, siegt, sieh, sieht, sie]}
7659	felt	fällt	[fett, welt, fegt, fehlt, fest]	{1.0=[fett, welt, fegt, fehlt, fest]}
7660	Tischort	T-Shirt	[Tischs, Fischer, Tisches, Fischern, schert, Fischers, sichert, Tisch, schmort, Tische, Tischen, schor, Sichert, Zischt, Mischt, Wischet, schont]	{3.0=[Tischs, Fischer, Tisches, Fischern, schert, Fischers, sichert, Tisch, schmort, Tische, Tischen, schor, Sichert, Zischt, Mischt, Wischet, schont]}
7661	wall	weil	[wallt, all, fall, wald, will]	{1.0=[wallt, all, fall, wald, will]}
7662	Katong	Karton	[Karton, Kanone, Kartons]	{2.0=[Karton, Kanone, Kartons]}
7663	bewogt	bewegt	[bewog, bewegt, Bewegt]	{1.0=[bewog, bewegt], 1.5=[Bewegt]}
7664	wall	weil	[wallt, all, fall, wald, will]	{1.0=[wallt, all, fall, wald, will]}
7665	rausgehkommen	rausgekommen	[rausgekommen, ausgekommen, rauskommen, herausgekommen, rauszukommen, aufgekommen, ausgenommen]	{1.0=[rausgekommen], 2.0=[ausgekommen], 3.0=[rauskommen, herausgekommen, rauszukommen, aufgekommen, ausgenommen]}
7666	wisen	wissen	[weisen, wissen, wiesen]	{1.0=[weisen, wissen, wiesen]}
7667	das	dass	[das, Das, daß, des, dass, dar, was, da, las]	{0.0=[das], 0.5=[Das], 1.0=[daß, des, dass, dar, was, da, las]}
7668	bezuch	Besuch	[besuch, Besuch, bewach, brauch, euch, besuche, besucht]	{1.0=[besuch], 1.5=[Besuch], 2.0=[bewach, brauch, euch, besuche, besucht]}
7669	Fraund	Freund	[Freund, freund, Frau, Freunds, Fund, raune, Fragend, rund, Frauen, Braune, Fand, Brand, Freunde, raunt, Braun, Grund]	{1.0=[Freund], 1.5=[freund], 2.0=[Frau, Freunds, Fund, raune, Fragend, rund, Frauen, Braune, Fand, Brand, Freunde, raunt, Braun, Grund]}
7670	türm	Turm	[türmt, tür, Türme, Türe, Turm, Tür]	{1.0=[türmt, tür], 1.5=[Türme, Türe, Turm, Tür]}
7671	wiel	will	[wie, fiel, will, weil, wies, viel]	{1.0=[wie, fiel, will, weil, wies, viel]}
7672	Türm	Turm	[Türme, Türe, Turm, Tür]	{1.0=[Türme, Türe, Turm, Tür]}
7673	türm	Turm	[türmt, tür, Türme, Türe, Turm, Tür]	{1.0=[türmt, tür], 1.5=[Türme, Türe, Turm, Tür]}
7674	gröser	größer	[größer, gröber, Größer, Gräser]	{1.0=[größer, gröber], 1.5=[Größer, Gräser]}
7675	voreher	vorher	[vorher, Vorher, voriger, vorder, verehre, vorgehen, vornehmer, vorsehen, vorüber]	{1.0=[vorher], 1.5=[Vorher], 2.0=[voriger, vorder, verehre, vorgehen, vornehmer, vorsehen, vorüber]}
7676	under	unter	[unser, wunder, Wunder, runder, unter]	{1.0=[unser, wunder, Wunder, runder, unter]}
7677	haltert	haltet	[haltet, Haltet, hantiert, halte, haftet, faltest, hattest, faltet, kalter, halten, poltert, haltend, harter, hattet, hastet, rattert, halber, haftest, alter]	{1.0=[haltet], 1.5=[Haltet], 2.0=[hantiert, halte, haftet, faltest, hattest, faltet, kalter, halten, poltert, haltend, harter, hattet, hastet, rattert, halber, haftest, alter]}
